Survey ID,"
Do you agree to participate?","
Are you responsible for water collection or treatment in this household?","
Survey Type","
Waterpoint ID","
AEP System ID","
Waterpoint Site Name","
Interviewer's Name","
Interview date","
Interview Start Time",Latitude,Longitude,"
Prefecture","
Sub-Prefecture","
Commune","
Town or Village Name","
Neighborhood (or village name if no neighborhoods)","
Interviewee's Gender","
What is the highest level of education obtained by the head of the household?","
Other type of education","
What is your household's main source of income?","
Other household income","
How many people live in your household in total, including yourself.","
What is your main source of drinking water in the WET/RAINY season?","
Other water source type during WET/RAINY season.","
Waterpoint ID (WET/RAINY season)","
Waterpoint Name (WET/RAINY season)","
What is your main source of drinking water in the DRY season?","
Other water source type during DRY season.","
Waterpoint ID (DRY season)","
(Waterpoint Name (DRY season)","
Where is that water collected from?","
How long does it take to go there, get water, and come back? (in minutes, don't collect, don't know)","
Number of minutes to collect water.","
In the last month, has there been any time when your household did not have sufficient quantities of drinking water when needed?","
Who usually goes to this source to fetch water for your household?","
How many trips did that person make in the last week?","
Is water always available from your main water source?","
What was the (main) reason you were unable to access sufficient quantities of water when needed? Select one.","If there is another reason why you were unable to collect enough water, please note it here.
Other reason for not collecting sufficient amounts of water.","How many hours a day is water accessible from the water point?
How many hours per day is water supplied on average?","
In the past month, for how many days was water from this source unavailable when needed? (Number of Days)","
Is this for personal, commercial or institutional use?","
Other reason for collecting water.","
Do you or your family ever suffer from stomach related illnesses/water-bourne diseases and how often does this occur?","
Do you still treat/process your water in any way to make it safe for drinking, food washing, and basic personal hygiene?","
What method do you use to make the water safe?","
Other method of filtering water.","
What is the reason for not making your water safe for drinking, food washing, and basic personal hygiene?","
If you had the means to purify water and choose to do this, which method would you most likely use?","
DRY SEASON - Technology: Traditional wood stove or stone fire","
DRY SEASON - Technology: Improved Wood Stove","
DRY SEASON - Technology: Charcoal Stove","
DRY SEASON - Technology: Gas Stove","
DRY SEASON - Technology: Kerosene Stove","
DRY SEASON - Technology: Electric Stove","
DRY SEASON - Technology: Other Cooking Technology","
For cooking, do you use different cooking technologies for the wet season than you do for the dry season?","
WET SEASON - Technology: Traditional wood stove or stone fire","
WET SEASON - Technology: Improved Wood Stove","
WET SEASON - Technology: Charcoal Stove","
WET SEASON - Technology: Gas Stove","
WET SEASON - Technology: Kerosene Stove","
WET SEASON - Technology: Electric Stove","
WET SEASON - Technology: Other Cooking Technology","
What is the main stove that you use for cooking if you use more than one stove?","
DRY SEASON - Fuel: Wood","
DRY SEASON - Fuel: Gas","
DRY SEASON - Fuel: Charcoal","
DRY SEASON - Fuel: Kerosene","
DRY SEASON - Fuel: Electricity","
DRY SEASON - Fuel: Crop Residues","
DRY SEASON - Fuel: Biogas","
DRY SEASON - Fuel: Animal Dung","
DRY SEASON - Fuel: Other fuel frequency","
DRY SEASON - Fuel: Other fuel type","
For cooking or boiling water, do you use different fuel types in the wet season than you do in the dry season?","
WET SEASON - Fuel: Wood","
WET SEASON - Fuel: Gas","
WET SEASON - Fuel: Charcoal","
WET SEASON - Fuel: Kerosene","
WET SEASON - Fuel: Electricity","
WET SEASON - Fuel: Crop Residues","
WET SEASON - Fuel: Biogas","
WET SEASON - Fuel: Animal Dung","
WET SEASON - Fuel: Other fuel frequency","
WET SEASON - Fuel: Other fuel type","
If you are using more than one fuel, which fuel do you mainly use for cooking?","
Where do you collect your fuel?","
How long does it take to go to the fuel source, get fuel, and come back?","
Number of minutes to collect fuel.","
How many trips were made to collect fuel in the last week?","
How many water storage containers: 5 liters","
How many water storage containers: 10 liters","
How many water storage containers: 15 liters","
How many water storage containers: 20 liters","
How many water storage containers: 25 liters","
How many water storage containers: other size","
What is the size of the other water container, in liters?","
Does your household have a storage container? Such as a barrel.","
If yes, how many liters does that storage container hold?","
Can you please show me where members of your household most often wash their hands?","
Observe availability of water at the place for handwashing.","
Observe availability of soap or detergent at the place for handwashing.","
Additional commentary.","
Interview completion time."
88,Yes,Yes,Planned AEP System,B448,AEP194,Sambanda D,MOSSALBAYE Armand,2022-11-15,10:15:00,4.250521,15.793798,Mambere-Kadei,Berberati,Berberati,Berberati,Wambilo,Women,Post-Secondary/University,,Formal Employment,,15,Drilling with TDC,,A3166,Sambanda 4,Drilling with TDC,,A3166,Sambanda 4,Other place,Number of minutes (specify),240,"Yes, at least once",Adult male (over 15),3,"No, but water is available most of the time",Water is not available at the source (no water),,6-11 hours a day,6,Staff,,Several times a month,No,,,I do not know how to do,Add chlorine or product,2,0,1,0,0,0,0,No,,,,,,,,Traditional wood fire,2,0,1,0,0,0,0,0,0,,No,,,,,,,,,,,Drink,Close to agricultural fields,Number of minutes (specify),480,6,2,0,0,5,0,0,,No,,"Mobile object (bucket, goblet, kettle, pitcher)",water is available,Soap or detergent available,,10:37:00
85,Yes,Yes,Planned AEP System,B448,AEP194,Sambanda D,MOSSALBAYE Armand,2022-11-15,09:54:00,4.250532,15.793769,Mambere-Kadei,Berberati,Berberati,Berberati,Wambilo,Women,Primary,,Agriculture,,9,Drilling with TDC,,A3166,Sambanda 4,Drilling with TDC,,A3166,Sambanda 4,Other place,Number of minutes (specify),280,"Yes, at least once",Boy (under 15),7,"No, but water is available most of the time",Water is too expensive (water price),,6-11 hours a day,3,Staff,,Several times a month,No,,,I do not know how to do,"Use a water filter (ceramic, sand, composite, reverse osmosis, etc.)",2,0,0,0,0,0,0,No,,,,,,,,Traditional wood fire,2,0,0,0,0,0,0,0,0,,No,,,,,,,,,,,Drink,Bought,Housekeeping does not collect (0 minutes),,,1,0,0,4,1,0,,No,,"Mobile object (bucket, goblet, kettle, pitcher)",Water is not available,No soap or detergent available,,10:10:00
46,Yes,Yes,Planned AEP System,B448,AEP194,Sambanda D,MOSSALBAYE Armand,2022-11-15,13:33:00,4.250591,15.793181,Mambere-Kadei,Berberati,Berberati,Berberati,Wambilo,Women,Secondary,,Casual Work,,13,Drilling with TDC,,A3166,Sambanda 4,Drilling with TDC,,A3166,Sambanda 4,Other place,Number of minutes (specify),240,"Yes, at least once",Adult woman (over 15),7,"No, but water is available most of the time",Water is not available at the source (no water),,6-11 hours a day,2,Staff,,"Once, every few months",No,,,It's taking too long,Do not know,2,0,0,0,0,0,0,No,,,,,,,,Traditional wood fire,2,0,0,0,0,0,0,0,0,,No,,,,,,,,,,,Drink,Close to agricultural fields,Number of minutes (specify),300,3,0,0,1,5,2,0,,No,,"Mobile object (bucket, goblet, kettle, pitcher)",water is available,No soap or detergent available,,13:51:00
121,Yes,Yes,Planned AEP System,B436,AEP196,Lomi C,MOSSALBAYE Armand,2022-11-16,11:38:00,4.282767,15.780583,Mambere-Kadei,Berberati,Berberati,Berberati,Lomi 3,Women,Primary,,Agriculture,,7,Improved or protected source,,,,Improved or protected source,,,,Other place,Do not know,,"No, access is still sufficient",Girl (under 15),7,"Yes, water is always available",The source is not accessible (no access),,24 hours a day,1,Staff,,Several times a month,No,,,I do not know how to do,Do not know,2,0,0,0,0,0,0,No,,,,,,,,Traditional wood fire,2,0,0,0,0,0,0,0,0,,No,,,,,,,,,,,Drink,Close to agricultural fields,Do not know,,,0,0,1,0,0,1,50,No,,"Mobile object (bucket, goblet, kettle, pitcher)",Water is not available,No soap or detergent available,,11:53:00
118,Yes,Yes,Planned AEP System,B436,AEP196,Lomi C,MOSSALBAYE Armand,2022-11-16,09:16:00,4.280792,15.781125,Mambere-Kadei,Berberati,Berberati,Berberati,Lomi 3,Women,Secondary,,Agriculture,,9,Improved or protected source,,,,Improved or protected source,,,,Other place,Number of minutes (specify),50,"Yes, at least once",Adult woman (over 15),7,"Yes, water is always available",The source is not accessible (no access),,24 hours a day,1,Staff,,Once a month,No,,,The water is already drinkable (improved source),Add chlorine or product,2,0,0,0,0,0,0,No,,,,,,,,Traditional wood fire,2,0,0,0,0,0,0,0,0,,No,,,,,,,,,,,Drink,Close to agricultural fields,Number of minutes (specify),160,5,1,0,0,2,0,0,,No,,"Mobile object (bucket, goblet, kettle, pitcher)",water is available,Soap or detergent available,,09:41:00
115,Yes,Yes,Planned AEP System,B436,AEP196,Lomi C,MOSSALBAYE Armand,2022-11-16,08:48:00,4.280121,15.780508,Mambere-Kadei,Berberati,Berberati,Berberati,Lomi 3,Women,None,,Agriculture,,12,Improved or protected source,,,,Improved or protected source,,,,Other place,Number of minutes (specify),60,"No, access is still sufficient",Girl (under 15),7,"Yes, water is always available",Water is not available at the source (no water),,24 hours a day,0,Staff,,Several times a month,No,,,I do not know how to do,Do not know,2,0,0,0,0,0,0,No,,,,,,,,Traditional wood fire,2,0,0,0,0,0,0,0,0,,No,,,,,,,,,,,Drink,Close to agricultural fields,Do not know,,,0,0,0,1,0,0,,No,,"Mobile object (bucket, goblet, kettle, pitcher)",Water is not available,No soap or detergent available,,09:10:00
112,Yes,Yes,Planned AEP System,B436,AEP196,Lomi C,MOSSALBAYE Armand,2022-11-16,11:16:00,4.282234,15.779089,Mambere-Kadei,Berberati,Berberati,Berberati,Lomi 3,Women,Primary,,Agriculture,,15,Improved or protected source,,,,Improved or protected source,,,,Other place,Number of minutes (specify),45,"Yes, at least once",Adult woman (over 15),7,"No, but water is available most of the time",The source is not accessible (no access),,24 hours a day,2,Staff,,Several times a month,No,,,The water is already drinkable (improved source),Do not know,2,0,0,0,0,0,0,No,,,,,,,,Traditional wood fire,2,0,0,0,0,0,0,0,0,,No,,,,,,,,,,,Drink,Close to agricultural fields,Number of minutes (specify),240,6,2,0,0,2,0,0,,No,,"Mobile object (bucket, goblet, kettle, pitcher)",Water is not available,No soap or detergent available,,11:32:00
109,Yes,Yes,Planned AEP System,B436,AEP196,Lomi C,MOSSALBAYE Armand,2022-11-16,10:58:00,4.281911,15.779239,Mambere-Kadei,Berberati,Berberati,Berberati,Lomi 3,Women,Secondary,,Agriculture,,26,Improved or protected source,,,,Improved or protected source,,,,Other place,Number of minutes (specify),50,"Yes, at least once",Adult woman (over 15),7,"Yes, water is always available",The source is not accessible (no access),,24 hours a day,1,Staff,,Once a month,No,,,I do not know how to do,Add chlorine or product,3,0,0,0,0,0,0,No,,,,,,,,Traditional wood fire,3,0,0,0,0,0,0,0,0,,No,,,,,,,,,,,Drink,Close to agricultural fields,Number of minutes (specify),240,6,3,0,1,2,1,1,50,No,,"Mobile object (bucket, goblet, kettle, pitcher)",water is available,No soap or detergent available,,11:13:00
106,Yes,Yes,Planned AEP System,B436,AEP196,Lomi C,MOSSALBAYE Armand,2022-11-16,10:40:00,4.281561,15.779921,Mambere-Kadei,Berberati,Berberati,Berberati,Lomi 3,Women,Primary,,Agriculture,,6,Improved or protected source,,,,Improved or protected source,,,,Other place,Number of minutes (specify),60,"Yes, at least once",Adult woman (over 15),7,"Yes, water is always available",The source is not accessible (no access),,24 hours a day,1,Staff,,Several times a month,No,,,I do not know how to do,Do not know,2,0,0,0,0,0,0,No,,,,,,,,Traditional wood fire,2,0,0,0,0,0,0,0,0,,No,,,,,,,,,,,Drink,Forest,Number of minutes (specify),240,6,1,0,0,2,1,0,,No,,"Mobile object (bucket, goblet, kettle, pitcher)",water is available,No soap or detergent available,,10:53:00
103,Yes,Yes,Planned AEP System,B436,AEP196,Lomi C,MOSSALBAYE Armand,2022-11-16,10:11:00,4.280628,15.781961,Mambere-Kadei,Berberati,Berberati,Berberati,Lomi 3,Women,None,,Agriculture,,7,Improved or protected source,,,,Improved or protected source,,,,Other place,Number of minutes (specify),80,"No, access is still sufficient",Adult woman (over 15),7,"Yes, water is always available",The source is not accessible (no access),,24 hours a day,0,Staff,,Several times a month,No,,,I do not know how to do,Do not know,2,0,0,0,0,0,0,No,,,,,,,,Traditional wood fire,2,0,0,0,0,0,0,0,0,,No,,,,,,,,,,,Drink,Close to agricultural fields,Number of minutes (specify),180,5,0,0,0,0,2,0,,No,,"Mobile object (bucket, goblet, kettle, pitcher)",Water is not available,No soap or detergent available,,10:29:00
100,Yes,Yes,Planned AEP System,B436,AEP196,Lomi C,MOSSALBAYE Armand,2022-11-16,09:47:00,4.280443,15.781343,Mambere-Kadei,Berberati,Berberati,Berberati,Lomi 3,Women,Post-Secondary/University,,Agriculture,,8,Drilling with TDC,,A3561,Nabiliyombo 2,Drilling with TDC,,A3561,Nabiliyombo 2,Other place,Number of minutes (specify),60,"Yes, at least once",Adult woman (over 15),7,"No, water is only available occasionally",Water is not available at the source (no water),,6-11 hours a day,6,Staff,,Once a month,No,,,I do not know how to do,Add chlorine or product,3,0,0,0,0,0,0,No,,,,,,,,Traditional wood fire,3,0,0,0,0,0,0,0,0,,No,,,,,,,,,,,Drink,Close to agricultural fields,Number of minutes (specify),180,4,1,0,1,3,0,0,,No,,"Mobile object (bucket, goblet, kettle, pitcher)",water is available,No soap or detergent available,,10:06:00
70,Yes,Yes,Planned AEP System,B436,AEP196,Lomi C,MOSSALBAYE Armand,2022-11-17,11:26:00,4.279805,15.777840,Mambere-Kadei,Berberati,Berberati,Berberati,Kpetene 2,Women,Secondary,,Agriculture,,11,Improved or protected source,,,,Improved or protected source,,,,Other place,Do not know,,"No, access is still sufficient",Adult woman (over 15),5,"Yes, water is always available",The source is not accessible (no access),,24 hours a day,0,Staff,,Once a month,No,,,I do not know how to do,Do not know,2,0,0,0,0,0,0,No,,,,,,,,Traditional wood fire,3,0,0,0,0,0,0,0,0,,No,,,,,,,,,,,Drink,Forest,Do not know,,,3,0,0,2,1,0,,No,,"Mobile object (bucket, goblet, kettle, pitcher)",Water is not available,No soap or detergent available,,14:43:00
64,Yes,Yes,Planned AEP System,B436,AEP196,Lomi C,MOSSALBAYE Armand,2022-11-17,10:37:00,4.278674,15.778623,Mambere-Kadei,Berberati,Berberati,Berberati,Kpetene 2,Women,Secondary,,Casual Work,,18,Improved or protected source,,,,Improved or protected source,,,,Other place,Number of minutes (specify),40,"No, access is still sufficient",Adult woman (over 15),7,"Yes, water is always available",The source is not accessible (no access),,24 hours a day,2,Staff,,Several times a month,No,,,I do not know how to do,Do not know,2,0,0,0,0,0,0,No,,,,,,,,Traditional wood fire,2,0,0,0,0,0,0,0,0,,No,,,,,,,,,,,Drink,Close to agricultural fields,Number of minutes (specify),240,6,1,0,0,3,0,1,60,No,,"Mobile object (bucket, goblet, kettle, pitcher)",water is available,No soap or detergent available,,10:53:00
61,Yes,Yes,Planned AEP System,B436,AEP196,Lomi C,MOSSALBAYE Armand,2022-11-17,10:08:00,4.279262,15.778650,Mambere-Kadei,Berberati,Berberati,Berberati,Kpetene 2,Women,Primary,,Agriculture,,9,Improved or protected source,,,,Improved or protected source,,,,Other place,Number of minutes (specify),50,"No, access is still sufficient",Girl (under 15),7,"Yes, water is always available",The source is not accessible (no access),,24 hours a day,1,Staff,,Several times a month,No,,,It is expensive,Add chlorine or product,2,0,0,0,0,0,0,No,,,,,,,,Traditional wood fire,2,0,0,0,0,0,0,0,0,,No,,,,,,,,,,,Drink,Close to agricultural fields,Number of minutes (specify),280,3,1,0,0,2,0,0,,No,,"Mobile object (bucket, goblet, kettle, pitcher)",water is available,No soap or detergent available,,10:28:00
